adt,4.5.0.19786,com.adobe.flex.compiler,flex,https://repository.sonatype.org/service/local/artifact/maven/redirect?r=flex&g=com.adobe.flex.compiler&a=adt&v=4.5.0.19786&e=pom, ,
adt,4.5.0.18623,com.adobe.flex.compiler,flex,https://repository.sonatype.org/service/local/artifact/maven/redirect?r=flex&g=com.adobe.flex.compiler&a=adt&v=4.5.0.18623&e=pom, ,
adt,4.5.0.17855,com.adobe.flex.compiler,flex,https://repository.sonatype.org/service/local/artifact/maven/redirect?r=flex&g=com.adobe.flex.compiler&a=adt&v=4.5.0.17855&e=pom, ,
adt,4.5.0.17689,com.adobe.flex.compiler,flex,https://repository.sonatype.org/service/local/artifact/maven/redirect?r=flex&g=com.adobe.flex.compiler&a=adt&v=4.5.0.17689&e=pom, ,
adt,4.5.0.17077,com.adobe.flex.compiler,flex,https://repository.sonatype.org/service/local/artifact/maven/redirect?r=flex&g=com.adobe.flex.compiler&a=adt&v=4.5.0.17077&e=pom, ,
adt,4.1.0.16248,com.adobe.flex.compiler,flex,https://repository.sonatype.org/service/local/artifact/maven/redirect?r=flex&g=com.adobe.flex.compiler&a=adt&v=4.1.0.16248&e=pom, ,
adt,4.1.0.16076,com.adobe.flex.compiler,flex,https://repository.sonatype.org/service/local/artifact/maven/redirect?r=flex&g=com.adobe.flex.compiler&a=adt&v=4.1.0.16076&e=pom, ,
adt,4.1.0.15646,com.adobe.flex.compiler,flex,https://repository.sonatype.org/service/local/artifact/maven/redirect?r=flex&g=com.adobe.flex.compiler&a=adt&v=4.1.0.15646&e=pom, ,
adt,4.0.0.14159,com.adobe.flex.compiler,flex,https://repository.sonatype.org/service/local/artifact/maven/redirect?r=flex&g=com.adobe.flex.compiler&a=adt&v=4.0.0.14159&e=pom, ,
adt,4.0.0.13875,com.adobe.flex.compiler,flex,https://repository.sonatype.org/service/local/artifact/maven/redirect?r=flex&g=com.adobe.flex.compiler&a=adt&v=4.0.0.13875&e=pom, ,
adt,3.6.0.16995,com.adobe.flex.compiler,flex,https://repository.sonatype.org/service/local/artifact/maven/redirect?r=flex&g=com.adobe.flex.compiler&a=adt&v=3.6.0.16995&e=pom, ,
adt,3.6.0.16321,com.adobe.flex.compiler,flex,https://repository.sonatype.org/service/local/artifact/maven/redirect?r=flex&g=com.adobe.flex.compiler&a=adt&v=3.6.0.16321&e=pom, ,
adt,3.5.a.12683,com.adobe.flex.compiler,flex,https://repository.sonatype.org/service/local/artifact/maven/redirect?r=flex&g=com.adobe.flex.compiler&a=adt&v=3.5.a.12683&e=pom, ,
adt,3.4.1.10084,com.adobe.flex.compiler,flex,https://repository.sonatype.org/service/local/artifact/maven/redirect?r=flex&g=com.adobe.flex.compiler&a=adt&v=3.4.1.10084&e=pom, ,
adt,4.0.0.13555,com.adobe.flex,flex,https://repository.sonatype.org/service/local/artifact/maven/redirect?r=flex&g=com.adobe.flex&a=adt&v=4.0.0.13555&e=pom, ,
