com.noahsloan.atg_atg-resolver_1.0,org.apache.ivy_ivy
com.atlassian.xmlrpc_atlassian-xmlrpc-binder-parent_0.7,com.atlassian.xmlrpc_atlassian-xmlrpc-binder-support
com.atlassian.xmlrpc_atlassian-xmlrpc-binder-parent_0.7,com.atlassian.xmlrpc_atlassian-xmlrpc-binder-server
com.atlassian.xmlrpc_atlassian-xmlrpc-binder-parent_0.7,com.atlassian.xmlrpc_atlassian-xmlrpc-binder-annotations
com.atlassian.xmlrpc_atlassian-xmlrpc-binder-parent_0.7,com.atlassian.xmlrpc_atlassian-xmlrpc-binder-testing
com.atlassian.xmlrpc_atlassian-xmlrpc-binder-parent_0.7,xml-apis_xml-apis
com.atlassian.xmlrpc_atlassian-xmlrpc-binder-parent_0.7,org.apache.xmlrpc_xmlrpc-client
com.atlassian.xmlrpc_atlassian-xmlrpc-binder-parent_0.7,org.apache.xmlrpc_xmlrpc-common
com.atlassian.xmlrpc_atlassian-xmlrpc-binder-parent_0.7,org.apache.ws.commons.util_ws-commons-util
com.atlassian.xmlrpc_atlassian-xmlrpc-binder-parent_0.7,cglib_cglib-full
com.atlassian.xmlrpc_atlassian-xmlrpc-binder-parent_0.7,javax.servlet_servlet-api
com.atlassian.xmlrpc_atlassian-xmlrpc-binder-parent_0.7,commons-beanutils_commons-beanutils
com.atlassian.xmlrpc_atlassian-xmlrpc-binder-parent_0.7,org.apache.xmlrpc_xmlrpc-server
com.atlassian.xmlrpc_atlassian-xmlrpc-binder-parent_0.7,junit_junit
com.atlassian.xmlrpc_atlassian-xmlrpc-binder-server_0.7,com.atlassian.xmlrpc_atlassian-xmlrpc-binder-support
com.atlassian.xmlrpc_atlassian-xmlrpc-binder-server_0.7,com.atlassian.xmlrpc_atlassian-xmlrpc-binder-annotations
com.atlassian.xmlrpc_atlassian-xmlrpc-binder-server_0.7,org.apache.xmlrpc_xmlrpc-server
com.atlassian.xmlrpc_atlassian-xmlrpc-binder-server_0.7,commons-io_commons-io
com.atlassian.xmlrpc_atlassian-xmlrpc-binder-server_0.7,org.mortbay.jetty_jetty-servlet-tester
com.atlassian.xmlrpc_atlassian-xmlrpc-binder-server_0.7,junit_junit
com.atlassian.xmlrpc_atlassian-xmlrpc-binder-server-spring_0.7,javax.servlet_servlet-api
com.atlassian.xmlrpc_atlassian-xmlrpc-binder-server-spring_0.7,org.springframework_spring-web
com.atlassian.xmlrpc_atlassian-xmlrpc-binder-server-spring_0.7,com.atlassian.xmlrpc_atlassian-xmlrpc-binder-server
com.atlassian.xmlrpc_atlassian-xmlrpc-binder-server-spring_0.7,com.atlassian.xmlrpc_atlassian-xmlrpc-binder-annotations
com.atlassian.xmlrpc_atlassian-xmlrpc-binder-server-spring_0.7,org.apache.xmlrpc_xmlrpc-server
com.atlassian.xmlrpc_atlassian-xmlrpc-binder-server-spring_0.7,org.springframework_spring-test
com.atlassian.xmlrpc_atlassian-xmlrpc-binder-server-spring_0.7,junit_junit
com.atlassian.xmlrpc_atlassian-xmlrpc-binder-server-spring_0.8.1,javax.servlet_servlet-api
com.atlassian.xmlrpc_atlassian-xmlrpc-binder-server-spring_0.8.1,org.springframework_spring-web
com.atlassian.xmlrpc_atlassian-xmlrpc-binder-server-spring_0.8.1,com.atlassian.xmlrpc_atlassian-xmlrpc-binder-server
com.atlassian.xmlrpc_atlassian-xmlrpc-binder-server-spring_0.8.1,com.atlassian.xmlrpc_atlassian-xmlrpc-binder-annotations
com.atlassian.xmlrpc_atlassian-xmlrpc-binder-server-spring_0.8.1,org.apache.xmlrpc_xmlrpc-server
com.atlassian.xmlrpc_atlassian-xmlrpc-binder-server-spring_0.8.1,org.springframework_spring-test
com.atlassian.xmlrpc_atlassian-xmlrpc-binder-server-spring_0.8.1,junit_junit
com.atlassian.xmlrpc_atlassian-xmlrpc-binder-support_0.7,com.atlassian.xmlrpc_atlassian-xmlrpc-binder-annotations
com.atlassian.xmlrpc_atlassian-xmlrpc-binder-support_0.7,org.apache.xmlrpc_xmlrpc-common
com.atlassian.xmlrpc_atlassian-xmlrpc-binder-support_0.7,org.apache.ws.commons.util_ws-commons-util
com.atlassian.xmlrpc_atlassian-xmlrpc-binder-support_0.7,xml-apis_xml-apis
com.atlassian.xmlrpc_atlassian-xmlrpc-binder-support_0.7,commons-beanutils_commons-beanutils
com.atlassian.xmlrpc_atlassian-xmlrpc-binder-support_0.7,commons-io_commons-io
com.atlassian.xmlrpc_atlassian-xmlrpc-binder-support_0.7,xerces_xercesImpl
com.atlassian.xmlrpc_atlassian-xmlrpc-binder-support_0.7,junit_junit
com.atlassian.xmlrpc_atlassian-xmlrpc-binder-testing_0.7,com.atlassian.xmlrpc_atlassian-xmlrpc-binder-annotations
com.atlassian.xmlrpc_atlassian-xmlrpc-binder-testing_0.7,com.atlassian.xmlrpc_atlassian-xmlrpc-binder-support
com.atlassian.xmlrpc_atlassian-xmlrpc-binder-testing_0.7,com.atlassian.xmlrpc_atlassian-xmlrpc-binder-server
com.atlassian.xmlrpc_atlassian-xmlrpc-binder-testing_0.7,org.apache.xmlrpc_xmlrpc-common
com.atlassian.xmlrpc_atlassian-xmlrpc-binder-testing_0.7,org.apache.xmlrpc_xmlrpc-server
com.atlassian.xmlrpc_atlassian-xmlrpc-binder-testing_0.7,junit_junit
com.atlassian.xmlrpc_atlassian-xmlrpc-binder-testing_0.8.1,com.atlassian.xmlrpc_atlassian-xmlrpc-binder-annotations
com.atlassian.xmlrpc_atlassian-xmlrpc-binder-testing_0.8.1,com.atlassian.xmlrpc_atlassian-xmlrpc-binder-support
com.atlassian.xmlrpc_atlassian-xmlrpc-binder-testing_0.8.1,com.atlassian.xmlrpc_atlassian-xmlrpc-binder-server
com.atlassian.xmlrpc_atlassian-xmlrpc-binder-testing_0.8.1,org.apache.xmlrpc_xmlrpc-common
com.atlassian.xmlrpc_atlassian-xmlrpc-binder-testing_0.8.1,org.apache.xmlrpc_xmlrpc-server
com.atlassian.xmlrpc_atlassian-xmlrpc-binder-testing_0.8.1,junit_junit
com.atlassian.xmlrpc_atlassian-xmlrpc-binder-testing_0.8.2,com.atlassian.xmlrpc_atlassian-xmlrpc-binder-annotations
com.atlassian.xmlrpc_atlassian-xmlrpc-binder-testing_0.8.2,com.atlassian.xmlrpc_atlassian-xmlrpc-binder-support
com.atlassian.xmlrpc_atlassian-xmlrpc-binder-testing_0.8.2,com.atlassian.xmlrpc_atlassian-xmlrpc-binder-server
com.atlassian.xmlrpc_atlassian-xmlrpc-binder-testing_0.8.2,org.apache.xmlrpc_xmlrpc-common
com.atlassian.xmlrpc_atlassian-xmlrpc-binder-testing_0.8.2,org.apache.xmlrpc_xmlrpc-server
com.atlassian.xmlrpc_atlassian-xmlrpc-binder-testing_0.8.2,junit_junit
com.atlassian.xmlrpc_atlassian-xmlrpc-binder-testing_0.9,com.atlassian.xmlrpc_atlassian-xmlrpc-binder-annotations
